Country,League,Season,Date,Home,Away
Brazil,Serie A,2015,09/05/15,Chapecoense,Coritiba
Brazil,Serie A,2015,09/05/15,Palmeiras,Atletico-MG
Brazil,Serie A,2015,09/05/15,Fluminense,Joinville
Brazil,Serie A,2015,10/05/15,Gremio,Ponte Preta
Brazil,Serie A,2015,10/05/15,Atletico-PR,Internacional
Brazil,Serie A,2015,10/05/15,Cruzeiro,Corinthians
Brazil,Serie A,2015,10/05/15,Sao Paulo,Flamengo
Brazil,Serie A,2015,10/05/15,Sport,Figueirense
Brazil,Serie A,2015,10/05/15,Avai,Santos
Brazil,Serie A,2015,10/05/15,Vasco,Goias
Brazil,Serie A,2015,16/05/15,Coritiba,Gremio
Brazil,Serie A,2015,16/05/15,Goias,Atletico-PR
Brazil,Serie A,2015,16/05/15,Corinthians,Chapecoense
Brazil,Serie A,2015,17/05/15,Figueirense,Vasco
Brazil,Serie A,2015,17/05/15,Atletico-MG,Fluminense
Brazil,Serie A,2015,17/05/15,Flamengo,Sport
Brazil,Serie A,2015,17/05/15,Santos,Cruzeiro
Brazil,Serie A,2015,17/05/15,Internacional,Avai
Brazil,Serie A,2015,17/05/15,Joinville,Palmeiras
Brazil,Serie A,2015,17/05/15,Ponte Preta,Sao Paulo
Brazil,Serie A,2015,23/05/15,Sao Paulo,Joinville
Brazil,Serie A,2015,23/05/15,Vasco,Internacional
Brazil,Serie A,2015,23/05/15,Gremio,Figueirense
Brazil,Serie A,2015,24/05/15,Palmeiras,Goias
Brazil,Serie A,2015,24/05/15,Atletico-PR,Atletico-MG
Brazil,Serie A,2015,24/05/15,Avai,Flamengo
Brazil,Serie A,2015,24/05/15,Chapecoense,Santos
Brazil,Serie A,2015,24/05/15,Fluminense,Corinthians
Brazil,Serie A,2015,24/05/15,Cruzeiro,Ponte Preta
Brazil,Serie A,2015,24/05/15,Sport,Coritiba
Brazil,Serie A,2015,30/05/15,Coritiba,Avai
Brazil,Serie A,2015,30/05/15,Ponte Preta,Chapecoense
Brazil,Serie A,2015,30/05/15,Joinville,Atletico-PR
Brazil,Serie A,2015,31/05/15,Santos,Sport
Brazil,Serie A,2015,31/05/15,Atletico-MG,Vasco
Brazil,Serie A,2015,31/05/15,Corinthians,Palmeiras
Brazil,Serie A,2015,31/05/15,Goias,Gremio
Brazil,Serie A,2015,31/05/15,Internacional,Sao Paulo
Brazil,Serie A,2015,31/05/15,Figueirense,Cruzeiro
Brazil,Serie A,2015,31/05/15,Flamengo,Fluminense
Brazil,Serie A,2015,03/06/15,Atletico-PR,Figueirense
Brazil,Serie A,2015,03/06/15,Chapecoense,Joinville
Brazil,Serie A,2015,03/06/15,Vasco,Ponte Preta
Brazil,Serie A,2015,03/06/15,Sao Paulo,Santos
Brazil,Serie A,2015,03/06/15,Avai,Atletico-MG
Brazil,Serie A,2015,03/06/15,Cruzeiro,Flamengo
Brazil,Serie A,2015,03/06/15,Gremio,Corinthians
Brazil,Serie A,2015,04/06/15,Fluminense,Coritiba
Brazil,Serie A,2015,04/06/15,Palmeiras,Internacional
Brazil,Serie A,2015,04/06/15,Sport,Goias
Brazil,Serie A,2015,06/06/15,Atletico-MG,Cruzeiro
Brazil,Serie A,2015,06/06/15,Flamengo,Chapecoense
Brazil,Serie A,2015,06/06/15,Santos,Ponte Preta
